candidato_id,anno,nombre_candidato,numero_de_votos,distrito,PARTIDO_CI
DIP-00001-dac33f2185ea4a378ab5653a53aed739,2021,Luis Alberto Susarrey Flores,"56,378",18. San Pedro Garza García,Partido Accion Nacional
DIP-00002-e90df981876b44e1bdb8e5ed4e8019c3,2021,Laura Esther Cantu Martinez,929,18. San Pedro Garza García,Partido Verde Ecologista de Mexico
DIP-00003-f451e05d3c7e4ed1ab276adf446319b8,2021,Veronica Lieja Fuentes,553,18. San Pedro Garza García,Partido del Trabajo
DIP-00004-b101d84469a44bc19980cec2f6f9bce6,2021,Ximena Peredo Rodriguez,"15,144",18. San Pedro Garza García,Movimiento Ciudadano
DIP-00005-0cb0ca1a0f884c4a8da0ae0a6e31cd38,2021,Maria Argentina Montalvo Cervantes,"6,710",18. San Pedro Garza García,MORENA
DIP-00006-09638a239ccd4974afcfd1f7f09c417a,2021,J. Marcos Florentino Almazan Paz,"1,210",18. San Pedro Garza García,Partido Nueva Alianza Nuevo Leon
DIP-00007-d7fd214623754dc1939a43fd132734bf,2021,ELIZABETH MENDOZA GUTIERREZ,309,18. San Pedro Garza García,Partido Encuentro Solidario
DIP-00008-20c4a5f534ef4117a11f242d9faf20a3,2021,Nancy Daniela Alanis Villarreal,248,18. San Pedro Garza García,Redes Sociales Progresistas
DIP-00009-3e1a5d90a003491f961005262fd72cbd,2021,Eduardo Alonso Mendivil,803,18. San Pedro Garza García,Fuerza por Mexico
DIP-00010-fc4fda92e25349bfb4499ac83ecc42fb,2021,Adrian Gerardo Garza Chavarria,"13,077",18. San Pedro Garza García,Va Fuerte por Nuevo Leon
DIP-00011-f980689283ad4c90a34b37d0d178999c,2021,Amyleth Palacios Medina,"1,737",18. San Pedro Garza García,CANDIDATURA INDEPENDIENTE 1
DIP-00012-120851cb79054349a8d6f3b1e2318b3b,2021,Lidia Margarita Estrada Flores,"12,813",16. Apodaca,Partido Accion Nacional
DIP-00013-b0dd7cde963b495e86b409c39a16938d,2021,Juan Antonio Cantu Flores,"13,771",16. Apodaca,Movimiento Ciudadano
DIP-00014-eeffcd4e66f1474cb6b04ebfbece98ee,2021,Blanca Esthela Prado Guerrero,597,16. Apodaca,Partido Encuentro Solidario
DIP-00015-6e7baeb606c64199bf861a13c32e1b68,2021,Luis Gerardo Chavez Cazares,326,16. Apodaca,Redes Sociales Progresistas
DIP-00016-66631fea8df44661a35d5dd8858a5f76,2021,Carlos Alberto Garza Treviño,489,16. Apodaca,Fuerza por Mexico
DIP-00017-4b54761ffcd34eda87e1a50538a88906,2021,Elsa Escobedo Vazquez,"27,430",16. Apodaca,Va Fuerte por Nuevo Leon
DIP-00018-651c91593f2b47dfafe4fbfc82946ed6,2021,Ramiro Roberto Gonzalez Gutierrez,"14,193",16. Apodaca,Juntos Haremos Historia en Nuevo Leon
DIP-00019-339cf8fd5ac2448796f251d0eb27f867,2021,Gilberto De Jesus Gomez Reyes,"21,646",12. Guadalupe,Partido Accion Nacional
DIP-00020-91fe04c9aa6b4b0fa37d8f879280e5b3,2021,Jose Carlos Ramirez Segovia,955,12. Guadalupe,Partido Verde Ecologista de Mexico
DIP-00021-3e1cb50a9ad242e39244263abc6c2d54,2021,Joel Aaron Del Bosque Medellin,859,12. Guadalupe,Partido del Trabajo
DIP-00022-2e383d713d864320a2034c3ea3f64028,2021,Iliana Marlenne Valdez Esparza,"14,852",12. Guadalupe,Movimiento Ciudadano
DIP-00023-9449330a998742d39b93f3a9a1c89725,2021,Angel Alberto Barroso Correa,"10,396",12. Guadalupe,MORENA
DIP-00024-1899964283bc47e1bcd13979544b8472,2021,Olga Elizabeth Martinez Treviño,771,12. Guadalupe,Partido Nueva Alianza Nuevo Leon
DIP-00025-8dca7978549d4dd2a454090a545a6a87,2021,KARLA JOANA MAGALLANES CABALLERO,539,12. Guadalupe,Partido Encuentro Solidario
DIP-00026-cf34b996ef414beba1a9d7525e8398b0,2021,Arturo Benavides Castillo,878,12. Guadalupe,Redes Sociales Progresistas
DIP-00027-7198a11ad3c34a85986d6ffcbf78b581,2021,Sergio Salcido Heredia,343,12. Guadalupe,Fuerza por Mexico
DIP-00028-bcdbff1dce164ce7a82a74cb984694a0,2021,Ma. Guadalupe Garza Flores,"20,547",12. Guadalupe,Va Fuerte por Nuevo Leon
DIP-00029-0ea815b80fc8481092ff0b098798c522,2021,Daniel Dario Perez Cavazos,"1,861",12. Guadalupe,CANDIDATURA INDEPENDIENTE 1
DIP-00030-7838e615ffa34b718b58c7fc3963ea7b,2021,Carlos Alberto De La Fuente Flores,"32,177",11. San Nicolás de los Garza,Partido Accion Nacional
DIP-00031-d49dc4bc0dd04bb9ac2ebe63712bee12,2021,Brenda Osnaya Alvarez,"14,117",11. San Nicolás de los Garza,Movimiento Ciudadano
DIP-00032-e5c1354644a146df8c1522c4caace1f6,2021,Norma Idalia Vargas Ortega,278,11. San Nicolás de los Garza,Redes Sociales Progresistas
DIP-00033-dd0c4887f7ff45e89fa36e7adc3fbd2e,2021,Lidia Reyna Rodriguez,594,11. San Nicolás de los Garza,Fuerza por Mexico
