candidato_id,anno,nombre_candidato,numero_de_votos,nombre_distrito,nombre_normalizado,PARTIDO_CI
GOB-00001-e96b094b513249f2a7317f41d8c73ce3,2021,Fernando Alejandro Larrazabal Breton,"25,135",21. Sabinas Hidalgo,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00002-c1f96bc9dc4d40d7a8870487b1d66c1e,2021,Samuel Alejandro García Sepúlveda,"32,501",21. Sabinas Hidalgo,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00003-90e2145af2bc47769bccc30a717824ed,2021,Carolina Maria Garza Guerra,427,21. Sabinas Hidalgo,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00004-b2057c0014844626bcbef2964b9a97cd,2021,Virginia Daney Siller Tristan,"1,044",21. Sabinas Hidalgo,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00005-1848c0ef9248445184fbed130dec946d,2021,Emilio Jacques Rivera,895,21. Sabinas Hidalgo,emilio jacques rivera,Fuerza por Mexico
GOB-00006-0742e34f0c994b7590716106204d377e,2021,Adrian Emilio De La Garza Santos,"18,793",21. Sabinas Hidalgo,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00007-b217f393c62740d683fd882037291fa8,2021,Clara Luz Flores Carrales,"16,967",21. Sabinas Hidalgo,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00008-e3f830e7edfa4ae8b74e7fb7acd666a9,2021,Fernando Alejandro Larrazabal Breton,"14,339",18. San Pedro Garza García,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00009-62b9fff43d0a4042bdc9763a9fe55a35,2021,Samuel Alejandro García Sepúlveda,"47,640",18. San Pedro Garza García,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00010-d11f70f505794a34bf60e6902ed0ae64,2021,Carolina Maria Garza Guerra,226,18. San Pedro Garza García,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00011-8276667232154bf0a38201bc31fd4a5b,2021,Virginia Daney Siller Tristan,166,18. San Pedro Garza García,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00012-0fe3bfd60e65480d8fee3a9ab90650ce,2021,Emilio Jacques Rivera,521,18. San Pedro Garza García,emilio jacques rivera,Fuerza por Mexico
GOB-00013-5e3f64ad9bf841a18976750b25fb1e0a,2021,Adrian Emilio De La Garza Santos,"27,836",18. San Pedro Garza García,adrian emilio de la garza santos,Va Fuerte por Nuevo Leon
GOB-00014-dc0755a855b34f90af4b705e89e1bd54,2021,Clara Luz Flores Carrales,"6,979",18. San Pedro Garza García,clara luz flores carrales,Juntos Haremos Historia en Nuevo Leon
GOB-00015-8ba0c8090c4f41b0bef3f1f2a59a297b,2021,Fernando Alejandro Larrazabal Breton,"18,414",26. Santiago,fernando alejandro larrazabal breton,Partido Accion Nacional
GOB-00016-9fa41993887146ce92d09736224bb434,2021,Samuel Alejandro García Sepúlveda,"19,029",26. Santiago,samuel alejandro garcía sepúlveda,Movimiento Ciudadano
GOB-00017-801e9fb90ec34d26906b2e7e1c043deb,2021,Carolina Maria Garza Guerra,165,26. Santiago,carolina maria garza guerra,Partido Encuentro Solidario
GOB-00018-cc202ee072c34921a096d431b09181c2,2021,Virginia Daney Siller Tristan,419,26. Santiago,virginia daney siller tristan,Redes Sociales Progresistas
GOB-00019-1f7cd21636ee44749233f419d09757d0,2021,Emilio Jacques Rivera,287,26. Santiago,emilio jacques rivera,Fuerza por Mexico
