casilla_id,anno,CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,NOMBRE_DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,CASILLA,NUM_ACTA_IMPRESO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CI,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,OBSERVACIONES,MECANISMOS_TRASLADO,FECHA_HORA
DPFED-00001-b7b1555394234aa1a21466080c48b5a5,2021,'190000P0100',190000P0100200048,19,NUEVO LEÓN,1,SANTA CATARINA,0,1,P,0,Urbana,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Cotejo (Levantada en Casilla),-,09/06/2021 14:06:40
DPFED-00002-5cef1ea153754ee4ac62f9ad37090fce,2021,'190356B0100',190356B0100109360,19,NUEVO LEÓN,1,SANTA CATARINA,356,1,B,0,Urbana,2,128,53,1,10,2,48,23,2,1,5,0,0,0,0,0,0,0,0,0,0,15,288,579,Recuento (Para recuento (SRA)),-,09/06/2021 11:06:34
DPFED-00003-dd7b49b51a81448aa2c19ea908ffb5ad,2021,'190356C0200',190356C0200110825,19,NUEVO LEÓN,1,SANTA CATARINA,356,2,C,0,Urbana,2,106,49,0,5,4,52,36,4,1,4,0,0,0,0,0,0,0,0,0,0,19,280,578,Recuento (Para recuento (SRA)),-,09/06/2021 11:06:39
DPFED-00004-56362d09b192470bbb7ebf2684f67c30,2021,'190356C0100',190356C0100110824,19,NUEVO LEÓN,1,SANTA CATARINA,356,1,C,0,Urbana,2,117,36,3,9,9,55,34,5,0,5,0,0,0,0,0,0,0,0,0,0,14,287,578,Recuento (Para recuento (SRA)),-,09/06/2021 11:06:45
DPFED-00005-9b731be8c6c8414db1fd2fa113e3c77e,2021,'190357B0100',190357B0100109361,19,NUEVO LEÓN,1,SANTA CATARINA,357,1,B,0,Urbana,2,86,50,0,7,2,50,47,2,0,1,0,0,0,0,0,0,0,0,0,0,17,262,514,Recuento (Para recuento (SRA)),-,09/06/2021 10:06:40
DPFED-00006-1c7d4c66db8145f2ad0809911a99bac7,2021,'190357C0100',190357C0100110012,19,NUEVO LEÓN,1,SANTA CATARINA,357,1,C,0,Urbana,2,105,39,2,7,6,38,31,1,1,3,0,0,0,0,0,0,0,0,0,0,13,246,514,Recuento (Para recuento (SRA)),-,09/06/2021 12:06:05
DPFED-00007-c375f2d216e240159785736dc8c495d6,2021,'190357C0200',190357C0200110013,19,NUEVO LEÓN,1,SANTA CATARINA,357,2,C,0,Urbana,2,114,37,1,8,3,30,31,3,1,4,0,0,0,0,0,0,0,0,0,0,27,259,514,Recuento (Para recuento (SRA)),-,09/06/2021 11:06:46
DPFED-00008-2bf75ff5231543b5b4a9bc9de28e3648,2021,'190358B0100',190358B0100109362,19,NUEVO LEÓN,1,SANTA CATARINA,358,1,B,0,Urbana,2,170,49,2,9,3,54,38,2,1,2,0,0,0,0,0,0,0,0,0,0,13,343,716,Recuento (Para recuento (SRA)),-,09/06/2021 13:06:33
DPFED-00009-e26d20efb519401cab5480e0bedbde61,2021,'190358C0100',190358C0100110826,19,NUEVO LEÓN,1,SANTA CATARINA,358,1,C,0,Urbana,2,164,40,4,3,2,58,38,2,3,5,0,0,0,0,0,0,0,0,0,0,20,339,715,Cotejo (Levantada en Casilla),-,09/06/2021 10:06:01
DPFED-00010-5a25727b7a2c4c1eaec3c6a8f36ed64f,2021,'190359B0100',190359B0100109363,19,NUEVO LEÓN,1,SANTA CATARINA,359,1,B,0,Urbana,2,160,34,5,5,7,87,65,2,0,8,0,0,0,0,0,0,0,0,0,1,8,382,691,Recuento (Para recuento (SRA)),-,09/06/2021 11:06:05
